CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,1,1,67.06,525.00,-423.50,700,497.45,517.05,700,"2,520.00",700,0.50,0.70,175,0.25,0.65,40.06,239,-97,36,
,1,-,-,-,510.00,-,700,457.40,477.50,700,"2,560.00",525,0.55,0.70,700,0.10,0.70,37.04,53,-28,462,
,1,-,-,-,453.25,-,700,417.65,434.60,700,"2,600.00",525,0.65,0.80,350,0.10,0.80,34.97,70,-17,782,
,-,-,-,-,-,-,875,377.75,397.95,700,"2,640.00",175,0.55,0.70,350,0.05,0.60,30.73,72,20,471,
,-,-,-,-,-,-,875,338.00,357.85,350,"2,680.00",875,0.60,0.90,700,0.05,0.90,28.37,35,-3,900,
,3,1,3,-,305.00,-40.00,175,302.55,311.25,175,"2,720.00",175,1.15,1.35,525,0.15,1.30,27.81,321,-116,799,
,-,-,-,-,-,-,175,257.20,279.30,700,"2,760.00",350,2.05,2.15,875,0.35,2.10,26.71,"1,840",121,"2,619",
,-,-,-,-,-,-,350,237.75,260.05,700,"2,780.00",700,2.85,2.95,875,0.60,2.95,26.69,568,-46,345,
,422,18,36,-,229.10,-22.40,175,226.40,229.50,175,"2,800.00","1,225",3.70,3.75,"1,575",0.60,3.75,26.19,"2,102",-27,"3,843",
,-,-,-,-,-,-,175,199.65,221.30,175,"2,820.00",350,4.55,4.65,875,0.95,4.65,25.55,"1,050",34,413,
,-,-,-,-,-,-,175,180.80,202.45,175,"2,840.00",875,5.50,5.60,350,1.20,5.65,24.73,814,-20,737,
,68,-,-,-,193.00,-,175,162.25,183.20,175,"2,860.00",700,6.70,6.85,525,1.35,6.95,23.88,"1,005",161,"1,067",
,78,5,27,10.08,153.60,-25.40,175,151.65,154.00,175,"2,880.00",525,8.35,8.50,"1,575",1.60,8.50,23.24,"1,187",42,"1,087",
,849,46,223,15.10,136.00,-20.95,350,135.00,135.95,175,"2,900.00",525,10.40,10.50,875,1.90,10.45,22.59,"4,927",301,"4,487",
,144,27,58,16.19,118.85,-18.90,175,116.70,118.65,175,"2,920.00",525,12.80,12.95,350,2.35,12.90,21.89,"1,783",218,"1,489",
,221,32,99,16.32,101.90,-19.40,175,100.20,101.80,175,"2,940.00",175,16.15,16.40,175,3.10,16.35,21.43,"1,863",-38,811,
,399,83,281,16.15,85.55,-19.35,175,84.50,85.85,175,"2,960.00",175,20.55,20.65,175,4.30,20.70,20.97,"2,511",178,"2,018",
,402,121,548,16.45,71.30,-18.45,175,70.45,71.35,175,"2,980.00",175,26.15,26.50,175,5.25,26.20,20.71,"2,391",2,921,
,"5,514","1,118","7,732",16.69,58.20,-17.45,175,57.85,58.30,"7,000","3,000.00",175,33.50,33.85,175,6.55,33.50,20.70,"10,467",736,"6,896",
,"1,985",729,"5,352",16.82,47.00,-15.45,175,47.05,47.20,350,"3,020.00",175,42.30,42.45,175,9.10,42.80,20.78,"3,951",352,"1,898",
,"4,944","1,883","13,399",17.18,37.75,-13.20,175,37.60,37.90,175,"3,040.00",175,52.75,53.20,"9,100",10.45,52.70,21.03,"7,130","1,303","4,905",
,"4,992",829,"11,687",17.38,29.60,-11.35,175,29.65,29.80,350,"3,060.00",175,64.60,65.20,175,12.95,65.10,21.54,"3,723",316,"2,693",
,"3,942",-27,"5,906",17.75,23.25,-9.50,175,23.10,23.40,350,"3,080.00",175,78.10,78.95,350,14.55,78.55,22.09,"1,249",173,"1,993",
,"16,632","1,653","29,676",18.38,18.40,-8.05,"4,375",18.50,18.60,175,"3,100.00",175,93.40,93.80,175,16.40,93.80,22.93,"1,962",38,"5,792",
,"2,698",82,"4,699",18.47,14.00,-6.20,875,14.00,14.15,175,"3,120.00",175,108.55,109.65,175,17.45,108.50,23.20,159,-6,"1,843",
,"2,577",83,"6,653",18.88,10.85,-4.65,350,10.85,11.05,"1,050","3,140.00",175,125.45,126.40,175,18.35,125.00,23.94,130,50,895,
,"3,926",113,"4,441",19.41,8.55,-3.45,"1,225",8.55,8.70,700,"3,160.00",175,143.05,144.10,175,19.65,142.35,24.85,152,35,975,
,"2,358",-175,"2,928",20.28,7.15,-2.35,"1,225",7.00,7.15,875,"3,180.00",175,161.30,162.95,175,22.30,161.60,26.68,34,-9,511,
,"15,073",39,"12,049",21.16,6.10,-1.75,"10,500",6.05,6.10,525,"3,200.00",175,180.10,181.00,350,21.25,180.70,28.30,444,5,"4,878",
,"1,216",254,"2,116",21.69,4.85,-1.35,175,4.85,4.90,"3,150","3,220.00",175,197.95,203.15,175,22.95,199.00,29.26,10,-9,128,
,"1,929",81,"2,817",22.21,3.90,-1.20,"2,975",3.90,4.00,"1,750","3,240.00",175,218.10,219.75,350,23.65,215.90,28.94,45,-17,464,
,"1,511",15,"1,936",23.11,3.40,-0.75,525,3.35,3.40,"1,575","3,260.00",175,232.45,245.30,175,-,209.80,-,-,-,224,
,845,-174,"1,385",23.69,2.80,-0.75,"1,750",2.80,2.85,"1,050","3,280.00",175,255.70,259.65,175,24.90,254.90,31.87,44,-32,199,
,"13,951",364,"9,543",24.79,2.60,-0.60,"2,625",2.55,2.65,"1,575","3,300.00",175,275.60,278.55,175,23.25,277.00,35.54,135,-50,"2,653",
,"1,181",-3,733,25.53,2.25,-0.55,875,2.20,2.30,"2,100","3,320.00",175,294.45,302.95,175,16.55,286.55,24.45,4,-,127,
,"1,206",286,845,25.88,1.80,-0.60,"1,050",1.80,1.85,700,"3,340.00",175,313.95,322.80,175,46.05,308.05,28.95,6,1,77,
,"1,442",-44,272,26.26,1.45,-0.30,350,1.50,1.60,175,"3,360.00",175,331.15,341.85,175,28.20,298.35,-,4,-1,138,
,405,-23,145,27.38,1.40,-0.40,"1,050",1.40,1.45,525,"3,380.00",700,348.10,365.75,"2,450",-,329.45,-,-,-,284,
,"6,757",-295,"1,750",28.62,1.40,-0.35,"1,750",1.35,1.40,"1,050","3,400.00",175,373.25,376.75,175,25.65,376.25,43.79,29,-14,"1,707",
,500,-14,113,28.99,1.15,-0.30,"2,100",1.10,1.20,350,"3,420.00",175,387.55,400.55,875,-,350.00,-,-,-,132,
,897,-,37,30.18,1.15,-0.25,"1,225",1.10,1.20,350,"3,440.00",175,408.00,419.90,175,12.00,387.00,-,1,-1,68,
,242,-55,139,31.35,1.15,-0.30,525,1.10,1.30,175,"3,460.00",700,426.00,441.05,700,-,395.00,-,-,-,2,
,113,1,50,32.91,1.25,-0.20,"1,400",1.15,1.25,350,"3,480.00",700,445.45,460.85,700,-,430.25,-,-,-,34,
,"5,443",-103,"1,188",33.46,1.05,-0.15,"1,050",1.05,1.10,"1,225","3,500.00",175,472.45,475.85,175,23.90,471.55,46.58,55,-53,"1,100",
,51,-,3,33.41,0.85,-0.55,175,0.85,1.35,350,"3,520.00",700,485.70,500.65,700,-,475.00,-,-,-,6,
,107,-,1,34.50,0.85,-,"3,850",0.75,1.40,"1,400","3,540.00",700,505.60,520.50,525,-,278.00,-,-,-,2,
,113,-3,8,36.59,1.05,0.05,350,0.80,1.05,175,"3,560.00",700,525.25,540.40,525,-,-,-,-,-,-,
,35,-,-,-,1.05,-,"1,750",0.70,1.30,"1,400","3,580.00",700,545.05,560.30,525,-,501.00,-,-,-,1,
,"1,369",-89,200,36.80,0.75,-0.15,"5,250",0.70,0.75,525,"3,600.00",175,572.00,576.85,175,7.00,557.00,-,4,1,586,
,52,-,-,-,1.15,-,"1,750",0.65,1.25,350,"3,620.00",700,585.25,600.05,525,-,535.00,-,-,-,2,
,45,-,1,39.50,0.80,-,"1,750",0.60,1.25,"2,450","3,640.00",700,605.20,619.95,525,-,548.85,-,-,-,1,
,38,-,-,-,1.15,-,"1,750",0.60,1.10,175,"3,660.00",-,-,-,-,-,-,-,-,-,-,
,26,-,-,-,1.15,-,"1,750",0.55,1.20,"2,450","3,680.00",-,-,-,-,-,-,-,-,-,-,
,431,-437,503,42.55,0.80,-0.05,350,0.70,0.80,350,"3,700.00",875,666.55,678.40,525,-,638.00,-,-,-,222,
,26,-,-,-,1.00,-,"1,750",0.50,0.70,175,"3,720.00","7,000",614.30,699.50,525,-,480.00,-,-,-,1,
,526,1,44,45.89,0.60,-0.05,"1,225",0.55,0.65,525,"3,800.00","1,750",764.05,787.30,700,-,700.00,-,-,-,679,
,16,-3,4,46.25,0.45,-0.35,175,0.45,0.85,175,"3,840.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"3,880.00",175,845.40,858.65,175,42.00,829.00,-,1,1,9,
,107,29,50,49.19,0.40,-0.35,"1,225",0.40,0.45,175,"3,920.00",525,833.85,990.40,"7,000",-,856.50,-,-,-,41,
,-,-,-,-,-,-,-,-,-,-,"3,960.00",-,-,-,-,-,886.00,-,-,-,4,
,-,-,-,-,-,-,-,-,-,-,"4,000.00",-,-,-,-,-,943.00,-,-,-,"1,766",
