CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,15,-,-,-,-,-,"3,100",72.00,74.45,"3,100",210.00,-,-,0.05,"12,400",-,-,-,-,-,49,
,33,-,-,-,-,-,"15,500",62.20,64.35,"3,100",220.00,"15,500",0.05,0.10,"43,400",-,0.05,64.71,3,-,116,
,17,-,-,-,-,-,"12,400",57.00,59.50,"3,100",225.00,-,-,0.10,"31,000",-,-,-,-,-,70,
,42,-,-,-,-,-,"3,100",52.15,54.30,"3,100",230.00,"71,300",0.05,0.10,"12,400",-,-,-,-,-,116,
,25,-,-,-,-,-,"3,100",47.25,49.70,"3,100",235.00,"3,100",0.10,0.20,"3,100",-,-,-,-,-,132,
,51,-,-,-,-,-,"3,100",42.30,44.70,"3,100",240.00,"3,100",0.15,0.20,"9,300",-,-,-,-,-,368,
,32,-,-,-,-,-,"3,100",37.50,39.35,"12,400",245.00,"3,100",0.20,0.30,"27,900",-0.05,0.20,48.28,1,-,144,
,134,-,-,-,-,-,"3,100",32.65,34.25,"3,100",250.00,"52,700",0.25,0.30,"18,600",-,0.35,47.13,1,-,739,
,48,-,-,-,-,-,"3,100",27.70,29.55,"3,100",255.00,"6,200",0.35,0.45,"9,300",-,-,-,-,-,244,
,318,-,1,34.04,24.00,-0.05,"3,100",23.55,24.15,"3,100",260.00,"6,200",0.55,0.65,"9,300",-0.10,0.55,38.63,3,-,396,
,130,-,-,-,-,-,"3,100",18.85,19.50,"3,100",265.00,"3,100",0.85,0.95,"24,800",-0.10,0.85,35.99,15,-,284,
,489,-,1,33.87,15.10,0.10,"3,100",14.60,15.00,"3,100",270.00,"3,100",1.50,1.55,"12,400",-,1.55,35.32,11,1,515,
,258,-,5,32.69,11.15,0.05,"3,100",10.85,11.15,"3,100",275.00,"6,200",2.50,2.65,"12,400",0.05,2.70,34.58,2,-1,497,
,873,1,51,30.81,7.35,-0.45,"3,100",7.50,7.60,"3,100",280.00,"3,100",4.25,4.35,"3,100",-0.10,4.30,34.86,31,4,524,
,549,7,67,31.53,4.95,-0.35,"6,200",5.00,5.15,"12,400",285.00,"3,100",6.60,6.85,"12,400",0.05,6.85,35.49,29,-9,202,
,920,9,38,32.31,3.10,-0.35,"21,700",3.20,3.35,"9,300",290.00,"3,100",9.70,10.05,"6,200",0.05,10.00,35.73,1,-,92,
,359,-,9,33.29,2.10,-0.20,"9,300",2.05,2.20,"6,200",295.00,"3,100",13.35,13.90,"3,100",-,-,-,-,-,28,
,"1,447",14,40,35.92,1.40,-0.15,"34,100",1.35,1.45,"37,200",300.00,"3,100",17.70,18.15,"3,100",-0.15,17.80,37.57,3,2,66,
,335,-,8,37.87,0.95,-0.05,"9,300",0.85,0.95,"15,500",305.00,"6,200",21.65,22.60,"6,200",-,-,-,-,-,15,
,413,-,-,-,-,-,"3,100",0.55,0.70,"15,500",310.00,"3,100",26.40,28.10,"3,100",-,-,-,-,-,43,
,131,-,-,-,-,-,"6,200",0.40,0.50,"12,400",315.00,"3,100",31.20,32.05,"3,100",-,-,-,-,-,4,
,557,1,4,44.14,0.35,-0.05,"31,000",0.30,0.35,"6,200",320.00,"3,100",35.65,38.15,"3,100",-,-,-,-,-,3,
,-,-,-,-,-,-,"9,300",0.05,0.40,"31,000",325.00,"12,400",40.65,42.90,"12,400",-,-,-,-,-,-,
