OI,CHNG IN OI,VOLUME,Strike Price,VOLUME,CHNG IN OI,OI,PCR OI,PCR Volume,PCR Change in OI,PCR Sum,PCR Support,CPR OI,CPR Vol,CPR Sum,Resistance
6.00,-,-,4600.00,3.00,-,43.00,7.17,illiquid,illiquid,7.166666667,Good Support,0.139534884,illiquid,illiquid,
-,-,-,4700.00,-,-,102.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,4800.00,-,-,131.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,4850.00,-,-,1.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,4900.00,1.00,-,43.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,4950.00,-,-,2.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
17.00,-,-,5000.00,80.00,5.00,470.00,27.65,illiquid,illiquid,27.64705882,Very Good Support,0.036170213,illiquid,illiquid,
-,-,-,5050.00,9.00,-5.00,33.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
9.00,-,-,5100.00,4.00,-2.00,139.00,15.44,illiquid,illiquid,15.44444444,Very Good Support,0.064748201,illiquid,illiquid,
-,-,-,5150.00,1.00,-,41.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
3.00,-,-,5200.00,4.00,-,265.00,88.33,illiquid,illiquid,88.33333333,Very Good Support,0.011320755,illiquid,illiquid,
1.00,-,-,5250.00,-,-,92.00,92.00,illiquid,illiquid,92,Very Good Support,0.010869565,illiquid,illiquid,
42.00,-,1.00,5300.00,228.00,-92.00,486.00,11.57,228.00,illiquid,239.5714286,Very Good Support,0.086419753,0.004385965,0.090805718,
29.00,-,-,5350.00,-,-,82.00,2.83,illiquid,illiquid,2.827586207,,0.353658537,illiquid,illiquid,
457.00,-3.00,8.00,5400.00,12.00,-5.00,259.00,0.57,1.50,1.67,2.066739606,,1.764478764,0.666666667,2.431145431,
78.00,-,-,5450.00,10.00,-1.00,56.00,0.72,illiquid,illiquid,0.717948718,,1.392857143,illiquid,illiquid,
315.00,-2.00,3.00,5500.00,729.00,-15.00,880.00,2.79,243.00,7.50,245.7936508,Very Good Support,0.357954545,0.004115226,0.362069772,
100.00,-,-,5550.00,16.00,-13.00,143.00,1.43,illiquid,illiquid,1.43,,0.699300699,illiquid,illiquid,
343.00,3.00,35.00,5600.00,663.00,-,1080.00,3.15,18.94,illiquid,22.09154519,Very Good Support,0.317592593,0.052790347,0.37038294,
232.00,-8.00,29.00,5650.00,292.00,37.00,339.00,1.46,10.07,-4.63,11.53017241,Very Good Support,0.684365782,0.099315068,0.78368085,
1053.00,-5.00,25.00,5700.00,553.00,-79.00,771.00,0.73,22.12,15.80,22.85219373,Very Good Support,1.365758755,0.045207957,1.410966711,
1029.00,-1.00,6.00,5750.00,501.00,60.00,872.00,0.85,83.50,-60.00,84.34742468,Very Good Support,1.180045872,0.011976048,1.192021919,
836.00,-38.00,175.00,5800.00,707.00,-42.00,897.00,1.07,4.04,1.11,5.112966507,Good Support,0.931995541,0.247524752,1.179520293,
105.00,-12.00,86.00,5850.00,641.00,-51.00,177.00,1.69,7.45,4.25,9.139202658,Very Good Support,0.593220339,0.134165367,0.727385706,
646.00,25.00,1737.00,5900.00,1723.00,-84.00,568.00,0.88,0.99,-3.36,1.871197093,,1.137323944,1.008125363,2.145449306,
624.00,59.00,1802.00,5950.00,715.00,-84.00,217.00,0.35,0.40,-1.42,0.744537764,,2.875576037,2.52027972,5.395855757,Resistance
1903.00,-63.00,3093.00,6000.00,465.00,-16.00,530.00,0.28,0.15,0.25,0.428847096,,3.590566038,6.651612903,10.24217894,Very Good Resistance
594.00,53.00,895.00,6050.00,38.00,-5.00,41.00,0.07,0.04,-0.09,0.11148167,,14.48780488,23.55263158,38.04043646,Very Good Resistance
983.00,37.00,1282.00,6100.00,39.00,-14.00,636.00,0.65,0.03,-0.38,0.6774202,,1.545597484,32.87179487,34.41739236,Very Good Resistance
488.00,-9.00,458.00,6150.00,-,-,39.00,0.08,illiquid,illiquid,0.079918033,,12.51282051,illiquid,illiquid,
917.00,-108.00,729.00,6200.00,-,-,23.00,0.03,illiquid,illiquid,0.025081788,,39.86956522,illiquid,illiquid,
292.00,-9.00,170.00,6250.00,-,-,9.00,0.03,illiquid,illiquid,0.030821918,,32.44444444,illiquid,illiquid,
603.00,93.00,835.00,6300.00,-,-,1.00,0.00,illiquid,illiquid,0.001658375,,603,illiquid,illiquid,
37.00,-,4.00,6350.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
402.00,-33.00,342.00,6400.00,-,-,1.00,0.00,illiquid,illiquid,0.002487562,,402,illiquid,illiquid,
-,-,-,6450.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
839.00,-32.00,312.00,6500.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,6600.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,6700.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
